true_alpha,mean_pnl_delta,sd_pnl_delta,p05_pnl_delta,p95_pnl_delta,pnl_delta_standard_error,pnl_delta_ci_low,pnl_delta_ci_high,mean_rmse_delta,rmse_delta_standard_error,rmse_delta_ci_low,rmse_delta_ci_high
0.05,0.155714527107396,20.753922181694175,-15.25705565247147,41.004706473205395,0.2679319832606208,-0.3694321600834207,0.6808612142982127,-0.5400425858113556,0.025206863080230315,-0.589448037448607,-0.49063713417410415
0.1,0.3396943053147317,37.19398905032657,-32.791299793730104,74.5968135733176,0.4801723339031194,-0.6014434691353823,1.2808320797648458,-1.713479287992254,0.03980621365957275,-1.7914994667650166,-1.6354591092194914
0.2,0.692960181542989,57.010391367508426,-72.72585426626348,105.22603868462667,0.7360009877570908,-0.7496017544609089,2.135522117546887,-4.164680440258819,0.0429766781907543,-4.248914729512697,-4.080446151004941
0.3,0.11194877574059499,64.2254468390584,-102.50275486897293,108.4779252576025,0.82914695336801,-1.5131792528607046,1.7370768043418947,-5.811720411927892,0.03394368650743055,-5.878250037482456,-5.745190786373328
0.4,0.46576380998083583,65.37645164614138,-108.34340092445838,109.09023611528819,0.8440063615321334,-1.1884886586221455,2.120016278583817,-6.853364009188778,0.026065175178773024,-6.904451752539173,-6.802276265838382
