true_alpha,strategy,mean_pnl,sd_pnl,p05_pnl,mean_fair_value_rmse,mean_alpha_estimate,alpha_mae,mean_spread
0.05,oracle,-0.7836124272382627,75.23102328791101,-92.26952567935051,9.321042445633145,0.049999999999999996,0.0,0.9159488863905175
0.05,fixed-0.20,54.663386264671615,73.02633800690411,-17.13564792212535,9.211063110584899,0.19999999999999998,0.15,2.2354076036700925
0.05,joint-bayes,45.68345930645696,72.17767239710307,-18.50947242139656,9.118488034589586,0.12261161489149743,0.07261161489149742,2.0400687968720086
0.1,oracle,1.1216845225637415,60.48754784849811,-51.83062769247702,7.883312807458989,0.09999999999999999,0.0,1.4446157951095233
0.1,fixed-0.20,30.88114171076515,59.8632236585522,-21.336110687141353,7.623414316727241,0.19999999999999998,0.09999999999999999,2.009026229825798
0.1,joint-bayes,22.39534555100698,58.52983580539772,-20.093137544849878,7.718059399415506,0.14172254532298809,0.04677642222105484,1.9101683181795321
0.2,oracle,0.4913993952510944,30.88091945700929,-25.43056433034558,5.182972579041301,0.19999999999999998,0.0,1.5013699718168365
0.2,fixed-0.20,0.4913993952510944,30.88091945700929,-25.43056433034558,5.182972579041301,0.19999999999999998,0.0,1.5013699718168365
0.2,joint-bayes,-7.017750431275639,28.220763670718412,-21.852081043038403,5.437275867264657,0.20185443752381735,0.07225373014221288,1.5791009873019637
0.3,oracle,0.009126018645144972,16.672949210273188,-16.480264159215768,3.590668588983186,0.3,0.0,1.1501849506383088
0.3,fixed-0.20,-13.112208621924946,14.024878653654346,-27.047239374186553,3.8550568250930204,0.19999999999999998,0.09999999999999998,1.059300993539367
0.3,joint-bayes,-17.929032333931048,8.878713243820268,-22.635518975220315,4.013135697978497,0.28541426746601645,0.07902027993712356,1.2140630321001507
0.4,oracle,0.3035900573649199,12.347599290584114,-11.58598309206111,2.813076828630441,0.39999999999999997,0.0,0.8907260821957276
0.4,fixed-0.20,-19.178500413347262,8.488667287273776,-28.15449893939219,3.1965635527822203,0.19999999999999998,0.19999999999999998,0.7803258136812938
0.4,joint-bayes,-20.678780643362504,2.7378488293510608,-23.10513253718409,3.235822090423295,0.3650188407383498,0.06737386748737942,0.9223874018047913
0.5,oracle,-0.013906663504437256,9.521344203767235,-8.079233040551618,2.1591828111926485,0.5,0.0,0.7048069048648626
0.5,fixed-0.20,-22.927855214502515,5.509650146933758,-28.9303404580839,2.667195450911302,0.19999999999999998,0.3,0.5953510570692252
0.5,joint-bayes,-21.68022331595523,1.1187126774610718,-23.38559745017751,2.621756148344671,0.430194833428301,0.06980516657169894,0.6996407605680741
