half_spread,mean_pnl,sd_pnl,p05_pnl,mean_fill_count,mean_max_abs_inventory
0.10000000000000001,12.93865051677713,23.773549261928196,-25.299676983857537,206.25628571428572,7.4859999999999998
0.25,39.103085840826786,20.205292643119542,7.2233641425158126,183.76885714285714,6.6037142857142861
0.5,65.786947074340503,18.917035168283292,34.262140026324737,141.57742857142858,5.9822857142857142
0.75,76.542169054204933,19.226313425101669,44.867330220701774,107.41257142857143,5.6517142857142861
1,78.60942929186875,19.436525120474961,46.682047178711137,81.541428571428568,5.3482857142857139
1.5,68.728005532885263,19.725992154229921,37.753887571678796,47.004285714285714,4.701714285714286
2,53.209854685425256,19.363947545769065,22.844390998767771,27.06457142857143,4.0722857142857141
3,26.491245530966619,15.829759369106041,3.1411080610834228,8.9002857142857135,2.7197142857142858
