true_alpha,strategy,mean_pnl,sd_pnl,p05_pnl,median_pnl,p95_pnl,standard_error,mean_fair_value_rmse,mean_informed_flow_pnl,mean_noise_flow_pnl,mean_spread
0.05,static,0.3566666666666667,78.03901462424298,-130.0,-10.0,130.0,1.0074793466471004,10.0,-28.496833333333335,28.8535,1.0
0.05,bayesian,0.5123811937740627,71.12260569674962,-89.19859034965282,-21.12140555980804,137.88796497093136,0.9181888913412934,9.459957414188645,-26.61270501223385,27.125086206008046,0.9331550704350766
0.1,static,-0.42,77.82651494020503,-120.0,0.0,120.0,1.0047359875225894,10.0,-54.0105,53.5905,2.0
0.1,bayesian,-0.08030569468526816,54.76768012412106,-52.64552315323226,-16.804553958063025,105.25168291599945,0.7070477101037861,8.286520712007745,-41.9860806713114,41.9057749766261,1.553195799305436
0.2,static,-1.0666666666666667,76.35858821740123,-120.0,0.0,120.0,0.9857851350196829,10.0,-95.788,94.72133333333333,4.0
0.2,bayesian,-0.3737064851236775,29.003125280751036,-25.365984534344033,-8.426050955126811,52.004343716224476,0.3744287373343869,5.835319559741181,-43.14479814879023,42.77109166366631,1.8145988174987848
0.3,static,0.07333333333333333,73.8266190735848,-120.0,0.0,120.0,0.9530975539293092,10.0,-126.25316666666667,126.3265,6.0
0.3,bayesian,0.18528210907392834,17.2173749332133,-16.447410174886,-4.509027342101035,30.927277220663992,0.22227535460581382,4.188279588072108,-31.64413576082083,31.82941786989477,1.5093529327009623
0.4,static,-0.6033333333333334,70.7484054828702,-120.0,0.0,120.0,0.9133579873529526,10.0,-144.211,143.60766666666666,8.0
0.4,bayesian,-0.1375695233524974,12.326791763383914,-11.6173847514101,-3.8761892031046727,24.94394063178735,0.15913819737250887,3.1466359908112222,-20.95518526684507,20.817615743492766,1.1556466077366223
