strategy,window,trade_no,true_alpha,q25_alpha_estimate,median_alpha_estimate,q75_alpha_estimate,median_spread
full-history,0,0,0.050000000000000003,0.2583333333333333,0.2583333333333333,0.2583333333333333,5.1666666666666714
full-history,0,1,0.050000000000000003,0.25833333333333341,0.25833333333333341,0.25833333333333341,4.7310186951545177
full-history,0,2,0.050000000000000003,0.24320789352914182,0.27090805036245708,0.27090805036245708,3.9343918449893494
full-history,0,3,0.050000000000000003,0.24320789352914177,0.24320789352914182,0.29061377734247462,4.4895084901014712
full-history,0,4,0.050000000000000003,0.22912513378355548,0.25512127581843302,0.25512127581843308,3.8096561639652435
full-history,0,5,0.050000000000000003,0.2291251337835554,0.22912513378355542,0.27417735282917588,4.2606225029293228
full-history,0,6,0.050000000000000003,0.21615196601301037,0.24027580158910944,0.24027580158910952,3.6810793313311763
full-history,0,7,0.050000000000000003,0.21615196601301037,0.2161519660130104,0.25845658812156269,4.0462886317000653
full-history,0,8,0.050000000000000003,0.20430368843350336,0.22648324652843221,0.2800036465940024,3.551753839311246
full-history,0,9,0.050000000000000003,0.20430368843350338,0.2436279175133016,0.24362791751330168,2.9636480811703194
full-history,0,10,0.050000000000000003,0.21379778168114913,0.21379778168114921,0.26439626212925649,3.4243366030582791
full-history,0,11,0.050000000000000003,0.19355484919388027,0.22980868883362077,0.28639331667868828,2.9110645670694169
full-history,0,12,0.050000000000000003,0.20222493023458188,0.20222493023458193,0.24959734954306539,3.3009324968615203
full-history,0,13,0.050000000000000003,0.18385069932424999,0.2170603582999947,0.27101211342751541,2.8519171893289723
full-history,0,14,0.050000000000000003,0.19173252838912952,0.19173252838912958,0.23573370390790885,3.1830676409856125
full-history,0,15,0.050000000000000003,0.17511772639481615,0.2053962839631584,0.25634596313949515,2.7887412761874373
full-history,0,16,0.050000000000000003,0.18226188118144745,0.18226188118144751,0.27747332937301705,3.0717292610305265
full-history,0,17,0.050000000000000003,0.16727243125496477,0.19479189448676831,0.2425278936380359,2.7236761558505123
full-history,0,18,0.050000000000000003,0.17373778643363136,0.21105946127861838,0.26304318084228012,2.3403787323176601
full-history,0,19,0.050000000000000003,0.16022806149931176,0.18519531845028422,0.22964168543854518,2.6584222292683819
full-history,0,20,0.050000000000000003,0.16607673836201675,0.20026360167566953,0.24937334761182739,2.3124966283163531
full-history,0,21,0.050000000000000003,0.15389938626792474,0.17653713074167288,0.21772626727814468,2.5942545671382504
full-history,0,22,0.050000000000000003,0.15919312371198621,0.1904510424229254,0.23655381954690813,2.2807742913001618
full-history,0,23,0.050000000000000003,0.14820579762535752,0.16873847429095545,0.20678301174138627,2.5320710967807258
full-history,0,24,0.050000000000000003,0.15300354698971072,0.18156222119048987,0.22463291927113024,2.2466731425027149
full-history,0,25,0.050000000000000003,0.14307309649354266,0.16171730651933219,0.2432392218024276,2.4724568514465517
full-history,0,26,0.050000000000000003,0.14742958674538542,0.17352626233640714,0.21362313575515557,2.2113459656734449
full-history,0,27,0.050000000000000003,0.1384343136135251,0.15539284998862898,0.23139790328052789,2.4157510219895215
full-history,0,28,0.050000000000000003,0.14239933585963907,0.16626729034641471,0.20350842367114175,2.1756672326291948
full-history,0,29,0.050000000000000003,0.13422986747448276,0.14968850580678664,0.22040283920451231,2.3621087274304742
full-history,0,30,0.050000000000000003,0.13784806060704077,0.15970908004377019,0.1942517576491101,2.1402750715433569
full-history,0,31,0.050000000000000003,0.1304072983356698,0.17191504102386412,0.21024757615272777,1.8980936495834726
full-history,0,32,0.050000000000000003,0.13371826150892036,0.15377822836459529,0.18580209060924618,2.1056159646511077
full-history,0,33,0.050000000000000003,0.12692075594458507,0.16511268209687691,0.20090495291143262,1.8790840666410844
full-history,0,34,0.050000000000000003,0.12995935717986873,0.14840612198164926,0.2167984082659565,2.0719867246461945
full-history,0,35,0.050000000000000003,0.12373036575355732,0.15893909158084712,0.19233335957113723,1.8593483101388983
full-history,0,36,0.050000000000000003,0.12652715376997428,0.14352998973722214,0.20743367049729847,2.039570983879571
full-history,0,37,0.050000000000000003,0.12080155670029917,0.15332913378724783,0.18448217521562313,1.8392981275771945
full-history,0,38,0.050000000000000003,0.12338321321859257,0.13909330119827201,0.19879936932189252,2.0084692572021368
full-history,0,39,0.050000000000000003,0.11810440253927117,0.14822246608936016,0.17729616585633151,1.8192363139622785
full-history,0,40,0.050000000000000003,0.12049419496596496,0.13504572652985983,0.1908527774142865,1.9787227357907113
full-history,0,41,0.050000000000000003,0.12499285671407452,0.14356415857694382,0.20507816747519247,1.7993803711733847
full-history,0,42,0.050000000000000003,0.11783121730478592,0.13134282330640312,0.18354583005746927,1.950331530608139
full-history,0,43,0.050000000000000003,0.12201828722207209,0.1393048464015553,0.19708567748635347,1.779882376059831
full-history,0,44,0.050000000000000003,0.11536926451592003,0.12794557087198022,0.17682830149987636,1.9232682957789251
full-history,0,45,0.050000000000000003,0.11927555126304311,0.1354005766720438,0.18970367456430401,1.7608450759758938
full-history,0,46,0.050000000000000003,0.11308665243552661,0.12481983574856259,0.17065013284907038,1.8974881694755368
full-history,0,47,0.050000000000000003,0.11673926557977005,0.13181247152271905,0.18288789354569143,1.7423345797597847
full-history,0,48,0.050000000000000003,0.11096455642517067,0.12193582293676093,0.16496303106654925,1.8729358736464121
full-history,0,49,0.050000000000000003,0.11438737541669762,0.12850629428928267,0.17659352096163672,1.7243901564290098
full-history,0,50,0.050000000000000003,0.10898660044931119,0.11926754692531674,0.15972148113686313,1.8495506773049186
full-history,0,51,0.050000000000000003,0.11220069324476692,0.12545197799653013,0.17077676877061973,1.707031676018687
full-history,0,52,0.050000000000000003,0.10713850301885859,0.13279591862875129,0.15488331070560107,1.5525146650804018
full-history,0,53,0.050000000000000003,0.1101624947107345,0.12262315438251034,0.16539591417243857,1.6902651846625218
full-history,0,54,0.050000000000000003,0.1054077743371727,0.12956229633881566,0.17652595752722408,1.5413136602953159
full-history,0,55,0.050000000000000003,0.10825816868024273,0.11999670651008108,0.16041192307595606,1.6740870359054796
full-history,0,56,0.050000000000000003,0.10378345852122783,0.12656267859019951,0.17103560559490752,1.5302690029756718
full-history,0,57,0.050000000000000003,0.1064749165388877,0.1175523574779206,0.15578876414621656,1.6584869237542534
full-history,0,58,0.050000000000000003,0.10225591487877847,0.12377380833239619,0.16593268617603227,1.5194153821761844
full-history,0,59,0.050000000000000003,0.10480149523209183,0.11527230071538036,0.15149350348236273,1.643450091342828
full-history,0,60,0.050000000000000003,0.10081663264516959,0.12117517651574218,0.16118384943909944,1.5087773880688076
full-history,0,61,0.050000000000000003,0.1032279984654477,0.11314087287066407,0.1474962516036725,1.6289589272249856
full-history,0,62,0.050000000000000003,0.099458074155702639,0.11874868323204221,0.15675837987305807,1.4983718914750455
full-history,0,63,0.050000000000000003,0.10174567078484768,0.11114426761829063,0.14377001724801644,1.6149941105124839
full-history,0,64,0.050000000000000003,0.098173542049055582,0.11647833365713241,0.15262820302589514,1.4882098671744899
full-history,0,65,0.050000000000000003,0.10034674973555167,0.10927028724381845,0.14571794859843559,1.6015354257919086
full-history,0,66,0.050000000000000003,0.096957066704278103,0.11434996888182557,0.14876779726400724,1.4782977904170309
full-history,0,67,0.050000000000000003,0.099024331851431557,0.10750812819203179,0.15775670144666745,1.5885623375825304
full-history,0,68,0.050000000000000003,0.09580331067600463,0.112351029898378,0.14515404771391976,1.4686387074092551
full-history,0,69,0.050000000000000003,0.097772258783834776,0.10584819659331791,0.15377970972635108,1.5760543904286664
full-history,0,70,0.050000000000000003,0.094707487394820239,0.11047035203866362,0.14176606907033387,1.4592330573275518
full-history,0,71,0.050000000000000003,0.096585020406635316,0.10428194990894235,0.15004748550424718,1.5639914829921651
full-history,0,72,0.050000000000000003,0.093665291837846706,0.10869798674253461,0.13858501572138954,1.4500793050534497
full-history,0,73,0.050000000000000003,0.095457672211469863,0.11381042487316953,0.14654020912308868,1.3290555853466088
full-history,0,74,0.050000000000000003,0.092672841250356228,0.10702504746292206,0.15492678023768033,1.441174429580343
full-history,0,75,0.050000000000000003,0.094385764727785287,0.11191945260189097,0.14323989856539748,1.3228800912613679
full-history,0,76,0.050000000000000003,0.096869776566571433,0.10544357664618305,0.15131475221965623,1.4325143021185767
full-history,0,77,0.050000000000000003,0.093365283065874105,0.11013336474194745,0.14013025148060024,1.3167943889386038
full-history,0,78,0.050000000000000003,0.095743488419243253,0.10394643096768433,0.14790834827282856,1.4240939796344776
full-history,0,79,0.050000000000000003,0.092392594991035221,0.1084439491258094,0.13719649006880552,1.3108055725290484
full-history,0,80,0.050000000000000003,0.094671612984146794,0.10252718229284914,0.14469205256179066,1.4159079332988327
full-history,0,81,0.050000000000000003,0.091464406198694434,0.10684381071564519,0.13442521357130929,1.3049189987879828
full-history,0,82,0.050000000000000003,0.093650309366839074,0.1011800321352728,0.14165173228114369,1.4079502266158102
