true_alpha,assumed_alpha,mean_pnl,sd_pnl,p05_pnl,mean_fair_value_rmse,mean_informed_flow_pnl,mean_noise_flow_pnl,mean_spread
0.050000000000000003,0.050000000000000003,0.66888517997338515,70.480101119030806,-89.266905217488784,9.4667816107521663,-26.323377481590768,26.99226266156424,0.93382077389040952
0.050000000000000003,0.10000000000000001,22.48183924646456,69.087585522342223,-48.229668672391853,9.2878389221453617,-24.077554103265097,46.55939334972966,1.6249523869353073
0.050000000000000003,0.20000000000000001,47.701694525665843,69.47483314192668,-18.999728586692687,9.3573167494161797,-21.695923641118931,69.397618166784724,2.44041715210781
0.050000000000000003,0.29999999999999999,61.021471991115362,70.562622660105845,-8.9544185072753297,9.5496599246889975,-20.579839273653537,81.601311264769066,2.8781301195301974
0.050000000000000003,0.40000000000000002,69.152488965621487,71.764568837414359,-5.0058402870754941,9.7388142526440014,-19.963704152179062,89.116193117800819,3.1472430287759909
0.050000000000000003,0.5,74.662306968699781,72.919613623205493,-2.8313833853156267,9.9073006055475101,-19.577643974140177,94.239950942840011,3.3302157127315457
0.10000000000000001,0.050000000000000003,-23.566306388861321,61.542028280033009,-97.192169362559852,8.8315552725681368,-48.916087307512683,25.349780918651579,0.91723961103065044
0.10000000000000001,0.10000000000000001,0.84267420401622994,56.310152547664238,-52.018338841500224,8.2826910509358029,-41.82433511646564,42.667009320481782,1.55334540758832
0.10000000000000001,0.20000000000000001,26.992000138628043,55.245655470109114,-21.730305390594776,7.9980947193399095,-34.688117044476236,61.680117183104173,2.2541541024405896
0.10000000000000001,0.29999999999999999,40.030525797333631,56.508744478821193,-11.584648318343431,8.0218759214264388,-31.466106601101693,71.496632398435366,2.6171872283773143
0.10000000000000001,0.40000000000000002,47.800662337886209,58.04119613666866,-7.0410796891712488,8.1134958855317336,-29.713923007899528,77.514585345785761,2.8404295485068727
0.10000000000000001,0.5,53.00603581347562,59.498404306144138,-4.1981473316133044,8.2195356665187198,-28.627709237738149,81.633745051213893,2.9937871670679024
0.20000000000000001,0.050000000000000003,-63.608980661427566,42.609056310015774,-111.02534050014977,7.6553706970295528,-83.681443493252928,20.072462831825884,0.86326463212870208
0.20000000000000001,0.10000000000000001,-30.159266293167047,32.190935375223923,-56.916855595777932,6.5643264407202029,-62.096556469736186,31.93729017656905,1.352789064877659
0.20000000000000001,0.20000000000000001,-0.1115462300189858,29.620520533297579,-25.168271066467174,5.8266138161781109,-43.362569837169822,43.251023607150614,1.8227549036724375
0.20000000000000001,0.29999999999999999,13.153269337755367,31.158006679856285,-14.728997766270696,5.6432621544357255,-35.883193474472613,49.036462812227953,2.0657075580435391
0.20000000000000001,0.40000000000000002,20.70786491503377,33.016016138296081,-10.073654060413402,5.6156870577704066,-32.073981341891113,52.781846256924851,2.2232034434525714
0.20000000000000001,0.5,25.67626717763353,34.709684255777198,-7.3393911321853018,5.6451059277062292,-29.812130768509988,55.488397946143806,2.3369728826784346
0.29999999999999999,0.050000000000000003,-88.763573081281464,27.882660255450482,-119.93033823057564,6.746700798698031,-106.26652943703526,17.502956355754471,0.79129801177370784
0.29999999999999999,0.10000000000000001,-45.520949188018534,16.46116225948111,-59.742074695313072,5.4188504102278117,-69.869484752415914,24.348535564397189,1.1233672471177762
0.29999999999999999,0.20000000000000001,-12.613773782619988,14.867127557641961,-26.777801443243128,4.51777194851622,-42.365822198155897,29.75204841553569,1.3856029301943298
0.29999999999999999,0.29999999999999999,0.49784790145932994,16.955618543252722,-16.165138447652385,4.2319475188825786,-32.204167057915633,32.702014959374978,1.5305788759528043
0.29999999999999999,0.40000000000000002,7.7487912457913444,19.049527095147866,-11.098963138650277,4.1272938955662655,-27.100677010702213,34.849468256493537,1.6369928456471825
0.29999999999999999,0.5,12.494707781260306,20.858036958438646,-7.8572708399167031,4.0967406530521266,-24.057261170209753,36.551968951470442,1.7215079901391519
0.40000000000000002,0.050000000000000003,-106.098461866957,17.824670655772856,-124.65471661754955,5.9392441510638561,-119.38700181083856,13.288539943882141,0.70360942317566189
0.40000000000000002,0.10000000000000001,-53.598199614906534,8.6362176476071202,-61.552278778814433,4.5475353390695847,-70.058821014683673,16.460621399776919,0.90024200071234783
0.40000000000000002,0.20000000000000001,-19.087791130180214,8.970789663736042,-28.174704888477301,3.614242135377034,-37.627201864510972,18.539410734330801,1.0355039775837436
0.40000000000000002,0.29999999999999999,-6.3864863612357539,11.11012521828215,-17.26442645580644,3.2813991350399805,-26.285701422046838,19.899215060811137,1.1224387625454588
0.40000000000000002,0.40000000000000002,0.40611431475832743,12.949472839092941,-11.617102136794937,3.1319634922778494,-20.613418657656265,21.019532972414698,1.1919581579423304
0.40000000000000002,0.5,4.7507749424983015,14.482055632278387,-8.0603660848483063,3.0627853514442487,-17.220813678644671,21.971588621143503,1.2496425774184854
0.5,0.050000000000000003,-117.18763985334469,10.151352800775957,-128.2046014867623,5.3195426683058979,-126.93458033543968,9.7469404820958019,0.61869790274635994
0.5,0.10000000000000001,-57.880073945908613,4.2426269594269677,-62.614305900135307,3.9787114842600193,-68.889143552366662,11.009069606457839,0.7264604126426597
0.5,0.20000000000000001,-22.883225103235795,5.4727812957493542,-28.92682299381622,3.1023686627822986,-34.779000264156046,11.895775160920639,0.79616669887268043
0.5,0.29999999999999999,-10.555450491174685,7.0383241186690073,-17.551743552881522,2.7779073408118866,-23.258553999219096,12.703103508044643,0.85167483457695126
0.5,0.40000000000000002,-4.0437337580410002,8.389494862159026,-11.699389429150097,2.6211355713380691,-17.496390529393924,13.452656771353215,0.90178610966873296
0.5,0.5,0.11664934474586081,9.5824962744592899,-8.0788921711262667,2.5386639654147132,-14.016842677069981,14.133492021816522,0.9470470297977116
